CATEGORY,COURSE_TITLE,COLLEGE,COURSE_CODE,2020,2021,2022_PREDICTION,LEVEL
Arts,Arts,Dublin Business School,DB563,161,143,127,6
Social and behavioural sciences,Social Science,Dublin Business School,DB566,220,262,312,8
Arts,Film and Creative Media,Dublin Business School,DB567,218,245,275,8
Law,Law,Dublin Business School,DB568,219,254,295,8
Business and administration,Business (Psychology),Dublin Business School,DB569,252,240,229,8
Business and administration,Business Studies,Dublin Business School,DB571,173,113,74,7
Business and administration,Business in Accounting,Dublin Business School,DB572,119,141,167,7
Business and administration,Business in Marketing,Dublin Business School,DB573,117,169,244,7
Information and Communication Technologies (ICTs),Business in Information Technology,Dublin Business School,DB574,136,173,220,7
Arts,Film and Creative Media,Dublin Business School,DB576,NA,101,NA,7
Education,Education - Early Childhood Education,Dublin City University,DC001,440,445,450,8
Education,Education - Primary Teaching,Dublin City University,DC002,488,518,550,8
Education,Education - Primary Teaching - Gaeltacht Applicants,Dublin City University,DC003,445,489,537,8
Education,Education - Primary Teaching (Church of Ireland Centre formerly CICE),Dublin City University,DC004,411,451,495,8
Arts,Arts (Joint Honours) - Humanities,Dublin City University,DC009,376,356,337,8
Education,Post Primary Teacher Education - Religious Education and English,Dublin City University,DC010,441,384,334,8
Education,Post Primary Teacher Education - Religious Education and History,Dublin City University,DC011,412,409,406,8
Education,Post Primary Teacher Education - Religious Education and Music,Dublin City University,DC012,378,409,443,8
Education,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,Dublin City University,DC013,419,413,407,8
Arts,BA in Jazz and Contemporary Music Performance (audition),Dublin City University,DC014,419,311,231,8
Languages,Business Studies International,Dublin City University,DC110,465,498,533,8
Business and administration,Business Studies,Dublin City University,DC111,488,511,535,8
Business and administration,Global Business (France),Dublin City University,DC112,517,542,568,8
Business and administration,Global Business (Germany),Dublin City University,DC113,462,484,507,8
Business and administration,Global Business (Spain),Dublin City University,DC114,522,544,567,8
Business and administration,Accounting and Finance,Dublin City University,DC115,510,544,580,8
Business and administration,Global Business (USA),Dublin City University,DC116,579,613,649,8
Engineering and engineering trades,Aviation Management / Aviation Management with Pilot Studies,Dublin City University,DC117,476,484,492,8
Business and administration,Gnó agus Gaeilge / Business and Irish,Dublin City University,DC118,359,368,377,8
Business and administration,Global Business (Canada),Dublin City University,DC119,564,601,640,8
Information and Communication Technologies (ICTs),Enterprise Computing,Dublin City University,DC120,357,403,455,8
Information and Communication Technologies (ICTs),Computer Applications,Dublin City University,DC121,400,475,564,8
Information and Communication Technologies (ICTs),Data Science,Dublin City University,DC123,465,501,540,8
Mathematics and statistics,Actuarial Mathematics,Dublin City University,DC126,560,577,595,8
Mathematics and statistics,Common Entry into Actuarial and Financial Mathematics,Dublin City University,DC127,532,541,550,8
Humanities (except languages),Communication Studies,Dublin City University,DC131,407,421,435,8
Journalism and information,Journalism,Dublin City University,DC132,429,452,476,8
Arts,Multimedia,Dublin City University,DC133,411,435,460,8
Languages,Applied Language and Translation Studies,Dublin City University,DC155,387,427,471,8
Physical sciences,Analytical Science,Dublin City University,DC161,498,498,498,8
Physical sciences,Chemical and Pharmaceutical Sciences,Dublin City University,DC162,521,531,541,8
Environment,Environmental Science and Technology,Dublin City University,DC166,433,423,413,8
Biological and related sciences,Genetics and Cell Biology,Dublin City University,DC168,512,543,576,8
Physical sciences,Physics General Entry (options),Dublin City University,DC175,419,400,382,8
Biological and related sciences,Biotechnology,Dublin City University,DC181,499,530,563,8
Engineering and engineering trades,Electronic and Computer Engineering (with choice of four majors),Dublin City University,DC190,413,488,577,8
Engineering and engineering trades,Mechatronic Engineering,Dublin City University,DC193,411,490,584,8
Engineering and engineering trades,Mechanical and Manufacturing Engineering,Dublin City University,DC195,425,500,588,8
Health,Biomedical Engineering,Dublin City University,DC197,423,510,615,8
Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry),Dublin City University,DC200,422,511,619,8
Biological and related sciences,Common Entry into Science (Undenominated Entry),Dublin City University,DC201,498,NA,NA,8
Health,Sport Science and Health,Dublin City University,DC202,500,511,522,8
Education,Science Education,Dublin City University,DC203,435,462,491,8
Health,Athletic Therapy and Training,Dublin City University,DC204,522,558,596,8
Education,Physical Education with Biology,Dublin City University,DC205,531,565,601,8
Education,Physical Education with Mathematics,Dublin City University,DC206,499,521,544,8
Social and behavioural sciences,Psychology,Dublin City University,DC208,532,565,600,8
Health,Health and Society,Dublin City University,DC209,465,477,489,8
Health,General Nursing,Dublin City University,DC215,454,456,458,8
Health,Mental Health Nursing,Dublin City University,DC216,418,420,422,8
Health,Intellectual Disability Nursing,Dublin City University,DC217,370,382,394,8
Health,Children`s and General Nursing (Integrated),Dublin City University,DC218,500,521,543,8
Social and behavioural sciences,"Economics, Politics and Law",Dublin City University,DC230,435,431,427,8
Social and behavioural sciences,International Relations,Dublin City University,DC231,397,398,399,8
Law,Law and Society (BCL),Dublin City University,DC232,466,469,472,8
Education,Education and Training - Daytime and Flexible Delivery Mode (full-time),Dublin City University,DC235,309,302,295,8
Humanities (except languages),Social Sciences and Cultural Innovation,Dublin City University,DC238,377,387,397,8
Journalism and information,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",Dublin City University,DC239,430,NA,NA,8
Business and administration,"Marketing, Innovation and Technology",Dublin City University,DC240,476,499,523,8
Arts,Arts (Joint Honours) - Media Studies,Dublin City University,DC291,376,350,326,8
Arts,Arts (Joint Honours) - Law,Dublin City University,DC292,403,400,397,8
Arts,Arts (Joint Honours) - International Languages,Dublin City University,DC293,377,379,381,8
Arts,Arts (Joint Honours) - Politics,Dublin City University,DC295,376,349,324,8
Business and administration,Business and Management,Dundalk Institute of Technology,DK710,120,120,120,7
Business and administration,Business and Technology,Dundalk Institute of Technology,DK711,191,140,103,7
Business and administration,Digital Marketing and Public Relations,Dundalk Institute of Technology,DK712,100,206,424,7
Information and Communication Technologies (ICTs),Computing,Dundalk Institute of Technology,DK721,106,120,136,7
Information and Communication Technologies (ICTs),Augmented and Virtual Reality,Dundalk Institute of Technology,DK722,144,207,298,7
Architecture and construction,Building Surveying,Dundalk Institute of Technology,DK730,165,243,358,7
Architecture and construction,Architectural Technology,Dundalk Institute of Technology,DK731,332,253,193,7
Architecture and construction,Construction Management,Dundalk Institute of Technology,DK732,120,243,492,7
Engineering and engineering trades,Engineering - Electrical and Electronic Systems,Dundalk Institute of Technology,DK740,179,163,148,7
Engineering and engineering trades,Engineering - Mechanical Engineering,Dundalk Institute of Technology,DK742,166,166,166,7
Architecture and construction,Engineering - Civil Engineering,Dundalk Institute of Technology,DK744,190,165,143,7
Personal services,Hospitality Management,Dundalk Institute of Technology,DK750,176,223,283,7
Personal services,Event Management,Dundalk Institute of Technology,DK752,175,224,287,7
Personal services,Culinary Arts,Dundalk Institute of Technology,DK753,182,192,203,7
Personal services,"Sport, Exercise and Enterprise",Dundalk Institute of Technology,DK763,233,205,180,7
Welfare,Community Youth Work (interview),Dundalk Institute of Technology,DK767,240,240,240,7
Arts,Audio and Music Production,Dundalk Institute of Technology,DK768,261,329,415,7
Arts,Creative Media,Dundalk Institute of Technology,DK769,165,265,426,7
Arts,Theatre & Film Practice,Dundalk Institute of Technology,DK770,190,140,103,7
Arts,Musical Theatre (audition),Dundalk Institute of Technology,DK771,NA,0,NA,7
Biological and related sciences,Science - Bioscience,Dundalk Institute of Technology,DK781,358,376,395,7
Biological and related sciences,Science - Pharmaceutical Science,Dundalk Institute of Technology,DK783,349,346,343,7
Veterinary,Veterinary Nursing,Dundalk Institute of Technology,DK784,399,451,510,7
Business and administration,Accounting and Finance,Dundalk Institute of Technology,DK810,305,307,309,8
Business and administration,Business Studies,Dundalk Institute of Technology,DK816,300,301,302,8
Information and Communication Technologies (ICTs),Computing in Games Development,Dundalk Institute of Technology,DK820,311,309,307,8
Information and Communication Technologies (ICTs),Computing in Software Development,Dundalk Institute of Technology,DK821,302,320,339,8
Information and Communication Technologies (ICTs),Augmented and Virtual Reality,Dundalk Institute of Technology,DK822,307,320,334,8
Architecture and construction,Building Surveying,Dundalk Institute of Technology,DK830,336,305,277,8
Architecture and construction,Architectural Technology,Dundalk Institute of Technology,DK831,389,368,348,8
Architecture and construction,Construction Management,Dundalk Institute of Technology,DK832,387,358,331,8
Engineering and engineering trades,Engineering (Common Entry),Dundalk Institute of Technology,DK843,340,404,480,8
Engineering and engineering trades,Mechanical Engineering,Dundalk Institute of Technology,DK844,305,336,370,8
Engineering and engineering trades,Electrical & Electronic Engineering,Dundalk Institute of Technology,DK845,304,331,360,8
Architecture and construction,Civil Engineering,Dundalk Institute of Technology,DK846,391,371,352,8
Personal services,International Tourism Management,Dundalk Institute of Technology,DK850,317,303,290,8
Arts,Music (audition),Dundalk Institute of Technology,DK860,532,NA,NA,8
Social and behavioural sciences,Arts,Dundalk Institute of Technology,DK861,302,302,302,8
Welfare,Social Care,Dundalk Institute of Technology,DK862,301,322,344,8
Arts,Creative Media,Dundalk Institute of Technology,DK863,308,336,367,8
Arts,Film and Television Production,Dundalk Institute of Technology,DK864,300,308,316,8
Arts,Audio and Music Production,Dundalk Institute of Technology,DK865,301,352,412,8
Health,General Nursing,Dundalk Institute of Technology,DK870,403,440,480,8
Health,Intellectual Disability Nursing,Dundalk Institute of Technology,DK872,336,367,401,8
Health,Mental Health Nursing,Dundalk Institute of Technology,DK874,356,398,445,8
Welfare,Early Childhood Studies,Dundalk Institute of Technology,DK876,321,300,280,8
Health,Midwifery,Dundalk Institute of Technology,DK877,440,482,528,8
Health,Health and Physical Activity,Dundalk Institute of Technology,DK880,328,301,276,8
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agriculture (Award options),Dundalk Institute of Technology,DK882,310,342,377,8
"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (Award options),Dundalk Institute of Technology,DK883,358,373,389,8
Agriculture,Sustainable Agriculture,Dundalk Institute of Technology,DK884,NA,348,NA,8
Manufacturing and processing,Agri-Food Production,Dundalk Institute of Technology,DK885,NA,0,NA,8
Manufacturing and processing,Biopharmaceutical Science,Dundalk Institute of Technology,DK886,301,379,477,8
Environment,Environmental Science,Dundalk Institute of Technology,DK887,330,377,431,8
Business and administration,Business - Applied Entrepreneurship,"Dun Laoghaire Institute of Art, Design and Technology",DL701,NA,162,NA,7
Humanities (except languages),"English, Media and Cultural Studies","Dun Laoghaire Institute of Art, Design and Technology",DL821,212,NA,NA,8
Business and administration,Arts Management,"Dun Laoghaire Institute of Art, Design and Technology",DL822,229,254,282,8
Business and administration,Business Management,"Dun Laoghaire Institute of Art, Design and Technology",DL823,235,220,206,8
Social and behavioural sciences,Applied Psychology,"Dun Laoghaire Institute of Art, Design and Technology",DL825,379,418,461,8
Arts,Visual Communication Design,"Dun Laoghaire Institute of Art, Design and Technology",DL826,855,591,409,8
Arts,Art,"Dun Laoghaire Institute of Art, Design and Technology",DL827,572,574,576,8
Arts,"3D Design, Modelmaking and Digital Art","Dun Laoghaire Institute of Art, Design and Technology",DL828,506,NA,NA,8
Arts,Design for Stage and Screen (Costume Design),"Dun Laoghaire Institute of Art, Design and Technology",DL829,593,NA,NA,8
Arts,Design for Stage and Screen (Character Makeup Design),"Dun Laoghaire Institute of Art, Design and Technology",DL830,939,NA,NA,8
Arts,Design for Stage and Screen (Production Design),"Dun Laoghaire Institute of Art, Design and Technology",DL831,781,NA,NA,8
Arts,Animation,"Dun Laoghaire Institute of Art, Design and Technology",DL832,920,989,1063,8
Arts,Photography,"Dun Laoghaire Institute of Art, Design and Technology",DL833,650,671,693,8
Arts,Film and Television Production,"Dun Laoghaire Institute of Art, Design and Technology",DL834,990,NA,NA,8
Information and Communication Technologies (ICTs),Creative Computing,"Dun Laoghaire Institute of Art, Design and Technology",DL836,219,235,252,8
Humanities (except languages),New Media Studies,"Dun Laoghaire Institute of Art, Design and Technology",DL837,201,298,442,8
Arts,Creative Music Production,"Dun Laoghaire Institute of Art, Design and Technology",DL838,754,713,674,8
Information and Communication Technologies (ICTs),Interaction and User Experience Design,"Dun Laoghaire Institute of Art, Design and Technology",DL839,683,757,839,8
Business and administration,Digital Marketing,"Dun Laoghaire Institute of Art, Design and Technology",DL840,228,210,193,8
Arts,English and Equality Studies,"Dun Laoghaire Institute of Art, Design and Technology",DL841,276,277,278,8
Architecture and construction,Architecture,University College Dublin (NUI),DN100,510,555,604,8
Architecture and construction,Landscape Architecture,University College Dublin (NUI),DN120,407,463,527,8
Architecture and construction,City Planning and Environmental Policy,University College Dublin (NUI),DN130,407,445,487,8
Engineering and engineering trades,Engineering (Common Entry),University College Dublin (NUI),DN150,531,565,601,8
"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (options),University College Dublin (NUI),DN200,533,577,625,8
Information and Communication Technologies (ICTs),Computer Science (Common Entry),University College Dublin (NUI),DN201,510,554,602,8
Mathematics and statistics,Actuarial and Financial Studies,University College Dublin (NUI),DN230,601,613,625,8
Environment,Sustainability,University College Dublin (NUI),DN240,440,510,591,8
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science (options),University College Dublin (NUI),DN250,456,454,452,8
Agriculture,Dairy Business,University College Dublin (NUI),DN252,410,NA,NA,8
Environment,Agri - Environmental Sciences,University College Dublin (NUI),DN253,418,NA,NA,8
Agriculture,Food Science,University College Dublin (NUI),DN261,477,531,591,8
Health,Human Nutrition,University College Dublin (NUI),DN262,531,566,603,8
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,University College Dublin (NUI),DN271,311,NA,NA,8
Agriculture,"Horticulture, Landscape and Sportsturf Management",University College Dublin (NUI),DN272,297,NA,NA,8
Veterinary,Veterinary Medicine - Undergraduate Entry,University College Dublin (NUI),DN300,589,601,613,8
Veterinary,Veterinary Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),DN301,NA,NA,NA,8
Veterinary,Veterinary Nursing,University College Dublin (NUI),DN310,478,521,568,8
Health,Medicine - Undergraduate Entry (HPAT required),University College Dublin (NUI),DN400,737,743,749,8
Health,Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),DN401,NA,61,NA,8
Health,Radiography,University College Dublin (NUI),DN410,534,566,600,8
Health,Radiography - Graduate Entry,University College Dublin (NUI),DN411,NA,NA,NA,8
Health,Physiotherapy,University College Dublin (NUI),DN420,578,601,625,8
Health,Health and Performance Science,University College Dublin (NUI),DN425,510,544,580,8
Business and administration,Sport and Exercise Management,University College Dublin (NUI),DN430,455,484,515,8
Biological and related sciences,"Biomedical, Health and Life Sciences",University College Dublin (NUI),DN440,590,613,637,8
Health,General Nursing,University College Dublin (NUI),DN450,429,462,498,8
Health,Children`s and General Nursing (Integrated),University College Dublin (NUI),DN451,509,533,558,8
Health,Midwifery,University College Dublin (NUI),DN452,489,510,532,8
Health,Mental Health Nursing,University College Dublin (NUI),DN453,397,442,492,8
Arts,Joint Honours (options),University College Dublin (NUI),DN520,310,381,468,8
Humanities (except languages),Humanities (options),University College Dublin (NUI),DN530,340,397,464,8
Languages,Modern Languages (options),University College Dublin (NUI),DN541,303,320,338,8
Law,Law (options),University College Dublin (NUI),DN600,546,576,608,8
Business and administration,Business and Law,University College Dublin (NUI),DN610,545,573,602,8
Business and administration,Commerce,University College Dublin (NUI),DN650,521,555,591,8
Business and administration,Commerce International (options),University College Dublin (NUI),DN660,517,555,596,8
Business and administration,Economics and Finance,University College Dublin (NUI),DN670,613,625,637,8
Social and behavioural sciences,Social Sciences (options),University College Dublin (NUI),DN700,421,475,536,8
Social and behavioural sciences,Economics,University College Dublin (NUI),DN710,498,534,573,8
Social and behavioural sciences,Psychology,University College Dublin (NUI),DN720,530,566,604,8
Social and behavioural sciences,Social Policy and Sociology,University College Dublin (NUI),DN750,378,421,469,8
Information and Communication Technologies (ICTs),Computing and Multimedia (Level 6 - Higher Certificate),Dorset College,DS602,NA,120,NA,6
Information and Communication Technologies (ICTs),Computing and Multimedia (Level 6 - Certificate),Dorset College,DS603,NA,NA,NA,6
Business and administration,Business,Dorset College,DS701,NA,136,NA,7
Information and Communication Technologies (ICTs),Computing and Multimedia (Level 7),Dorset College,DS702,NA,136,NA,7
Business and administration,Business,Galway-Mayo Institute of Technology,GA160,163,168,173,6
Business and administration,Business,Galway-Mayo Institute of Technology,GA170,250,252,254,7
Information and Communication Technologies (ICTs),Business Information Systems,Galway-Mayo Institute of Technology,GA171,250,253,256,7
Agriculture,Rural Enterprise and Agri-Business,Galway-Mayo Institute of Technology,GA172,277,278,279,7
Business and administration,Marketing and Sales,Galway-Mayo Institute of Technology,GA174,281,278,275,7
Business and administration,Finance,Galway-Mayo Institute of Technology,GA175,278,318,364,7
Business and administration,Business with Entrepreneurship,Galway-Mayo Institute of Technology,GA176,278,278,278,7
Business and administration,Accounting,Galway-Mayo Institute of Technology,GA181,309,303,297,8
Business and administration,Business,Galway-Mayo Institute of Technology,GA182,287,285,283,8
Information and Communication Technologies (ICTs),Business Information Systems,Galway-Mayo Institute of Technology,GA183,296,298,300,8
Business and administration,Marketing and Sales,Galway-Mayo Institute of Technology,GA184,307,300,293,8
Business and administration,Finance and Economics,Galway-Mayo Institute of Technology,GA185,293,318,345,8
Business and administration,Business with Entrepreneurship,Galway-Mayo Institute of Technology,GA186,280,287,294,8
Agriculture,Rural Enterprise and Agri-Business,Galway-Mayo Institute of Technology,GA187,281,291,301,8
Social and behavioural sciences,Heritage Studies,Galway-Mayo Institute of Technology,GA272,188,174,161,7
Arts,Contemporary Art,Galway-Mayo Institute of Technology,GA273,702,775,856,7
Arts,Design,Galway-Mayo Institute of Technology,GA274,251,271,293,7
Arts,Film and Documentary,Galway-Mayo Institute of Technology,GA281,304,310,316,8
Social and behavioural sciences,Heritage Studies,Galway-Mayo Institute of Technology,GA282,220,252,289,8
Arts,Contemporary Art,Galway-Mayo Institute of Technology,GA283,679,790,919,8
Arts,Design,Galway-Mayo Institute of Technology,GA284,303,331,362,8
Education,"Education (Art, Design and Graphics)",Galway-Mayo Institute of Technology,GA285,NA,406,NA,8
Personal services,Business in Tourism,Galway-Mayo Institute of Technology,GA360,172,171,170,6
Personal services,Culinary Arts,Galway-Mayo Institute of Technology,GA361,193,181,170,6
Personal services,Hotel and Hospitality Operations,Galway-Mayo Institute of Technology,GA362,240,162,109,6
Social and behavioural sciences,Heritage Studies,Galway-Mayo Institute of Technology,GA364,252,252,252,6
Personal services,Hotel and Catering Management,Galway-Mayo Institute of Technology,GA370,198,163,134,7
Personal services,Event Management with Public Relations,Galway-Mayo Institute of Technology,GA376,206,216,226,7
Personal services,International Tourism Management,Galway-Mayo Institute of Technology,GA377,172,180,188,7
Manufacturing and processing,Culinary and Gastronomic Science,Galway-Mayo Institute of Technology,GA378,219,200,183,7
Personal services,International Hotel Management,Galway-Mayo Institute of Technology,GA380,242,218,196,8
Personal services,International Tourism Management,Galway-Mayo Institute of Technology,GA381,278,252,228,8
Manufacturing and processing,Culinary and Gastronomic Science,Galway-Mayo Institute of Technology,GA382,206,235,268,8
Personal services,Event Management with Public Relations,Galway-Mayo Institute of Technology,GA384,212,230,250,8
Architecture and construction,Construction Management,Galway-Mayo Institute of Technology,GA470,244,246,248,7
Architecture and construction,Quantity Surveying and Construction Economics,Galway-Mayo Institute of Technology,GA471,200,234,274,7
Architecture and construction,Architectural Technology,Galway-Mayo Institute of Technology,GA472,226,260,299,7
Architecture and construction,Civil Engineering,Galway-Mayo Institute of Technology,GA473,241,304,383,7
Architecture and construction,Construction Management,Galway-Mayo Institute of Technology,GA480,260,302,351,8
Architecture and construction,Quantity Surveying and Construction Economics,Galway-Mayo Institute of Technology,GA482,288,304,321,8
Architecture and construction,Architectural Technology,Galway-Mayo Institute of Technology,GA483,265,281,298,8
Architecture and construction,Civil Engineering,Galway-Mayo Institute of Technology,GA484,290,377,490,8
Engineering and engineering trades,Software and Electronic Engineering,Galway-Mayo Institute of Technology,GA570,224,225,226,7
Engineering and engineering trades,Software and Electronic Engineering,Galway-Mayo Institute of Technology,GA580,300,300,300,8
Engineering and engineering trades,Mechanical Engineering,Galway-Mayo Institute of Technology,GA670,265,294,326,7
Engineering and engineering trades,Energy Engineering,Galway-Mayo Institute of Technology,GA673,260,279,299,7
Engineering and engineering trades,Biomedical Engineering,Galway-Mayo Institute of Technology,GA674,298,308,318,7
Engineering and engineering trades,Agricultural Engineering,Galway-Mayo Institute of Technology,GA675,298,290,282,7
Engineering and engineering trades,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),Galway-Mayo Institute of Technology,GA676,290,304,319,7
Manufacturing and processing,Manufacturing Engineering Design,Galway-Mayo Institute of Technology,GA677,235,308,404,7
Engineering and engineering trades,Mechanical Engineering,Galway-Mayo Institute of Technology,GA680,330,400,485,8
Engineering and engineering trades,Energy Engineering,Galway-Mayo Institute of Technology,GA681,293,312,332,8
Engineering and engineering trades,Biomedical Engineering,Galway-Mayo Institute of Technology,GA682,313,331,350,8
Engineering and engineering trades,Agricultural Engineering,Galway-Mayo Institute of Technology,GA683,309,304,299,8
Engineering and engineering trades,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),Galway-Mayo Institute of Technology,GA684,340,413,502,8
Manufacturing and processing,Manufacturing Engineering Design,Galway-Mayo Institute of Technology,GA685,309,336,365,8
Biological and related sciences,Applied Freshwater and Marine Biology,Galway-Mayo Institute of Technology,GA770,280,303,328,7
Biological and related sciences,Applied Biology and Biopharmaceutical Science,Galway-Mayo Institute of Technology,GA771,280,302,326,7
Environment,Chemical and Pharmaceutical Science,Galway-Mayo Institute of Technology,GA772,280,310,343,7
Physical sciences,Physics and Instrumentation,Galway-Mayo Institute of Technology,GA773,299,302,305,7
Biological and related sciences,Science (Undenominated),Galway-Mayo Institute of Technology,GA774,289,302,316,7
Information and Communication Technologies (ICTs),Computing in Software Development,Galway-Mayo Institute of Technology,GA775,260,280,302,7
Information and Communication Technologies (ICTs),Computing and Digital Media,Galway-Mayo Institute of Technology,GA776,241,244,247,7
Agriculture,Agriculture and Environmental Management,Galway-Mayo Institute of Technology,GA777,281,281,281,7
Biological and related sciences,Applied Freshwater and Marine Biology,Galway-Mayo Institute of Technology,GA780,327,366,410,8
Biological and related sciences,Applied Biology and Biopharmaceutical Science,Galway-Mayo Institute of Technology,GA781,337,381,431,8
Environment,Chemical and Pharmaceutical Science,Galway-Mayo Institute of Technology,GA782,336,356,377,8
Physical sciences,Physics and Instrumentation,Galway-Mayo Institute of Technology,GA783,363,301,250,8
Biological and related sciences,Science (Undenominated),Galway-Mayo Institute of Technology,GA784,372,445,532,8
Health,Medical Science,Galway-Mayo Institute of Technology,GA785,473,517,565,8
Physical sciences,Forensic Science and Analysis,Galway-Mayo Institute of Technology,GA786,317,408,525,8
Information and Communication Technologies (ICTs),Computing in Software Development,Galway-Mayo Institute of Technology,GA787,270,310,356,8
Information and Communication Technologies (ICTs),Computing and Digital Media,Galway-Mayo Institute of Technology,GA788,274,270,266,8
Agriculture,Agriculture and Environmental Management,Galway-Mayo Institute of Technology,GA789,287,340,403,8
Personal services,Sport and Exercise Science,Galway-Mayo Institute of Technology,GA790,356,376,397,8
Biological and related sciences,Public Health Nutrition,Galway-Mayo Institute of Technology,GA791,368,368,368,8
Humanities (except languages),History & Geography,Galway-Mayo Institute of Technology,GA862,178,195,214,6
Education,Early Childhood Education and Care,Galway-Mayo Institute of Technology,GA864,214,170,135,6
Personal services,Outdoor Education and Leisure,Galway-Mayo Institute of Technology,GA870,182,166,151,7
Education,Early Childhood Education and Care,Galway-Mayo Institute of Technology,GA871,190,196,202,7
Social and behavioural sciences,Culture and Environment,Galway-Mayo Institute of Technology,GA872,196,201,206,7
Welfare,Applied Social Care,Galway-Mayo Institute of Technology,GA879,244,241,238,7
Health,General Nursing,Galway-Mayo Institute of Technology,GA880,429,440,451,8
Health,Psychiatric Nursing,Galway-Mayo Institute of Technology,GA882,367,369,371,8
Personal services,Outdoor Education,Galway-Mayo Institute of Technology,GA885,252,269,287,8
Humanities (except languages),History and Geography,Galway-Mayo Institute of Technology,GA887,244,201,166,8
Welfare,Applied Social Care,Galway-Mayo Institute of Technology,GA889,266,265,264,8
Education,Early Childhood Education and Care,Galway-Mayo Institute of Technology,GA890,270,281,292,8
Environment,Geography and Outdoor Education,Galway-Mayo Institute of Technology,GA891,244,261,279,8
Arts,"Furniture Design, Making and Technology - Common Entry",Galway-Mayo Institute of Technology,GA974,214,422,832,7
Education,Education (Design Graphics and Construction),Galway-Mayo Institute of Technology,GA980,377,410,446,8
Arts,"Furniture Design, Making and Technology - Common Entry",Galway-Mayo Institute of Technology,GA984,284,486,832,8
Business and administration,Business,Galway Business School,GB001,NA,0,NA,7
Business and administration,Business Studies,Griffith College,GC200,252,269,287,8
Business and administration,Accounting and Finance,Griffith College,GC201,303,260,223,8
Information and Communication Technologies (ICTs),Computing Science,Griffith College,GC230,335,300,269,8
Journalism and information,Communications and Media Production,Griffith College,GC250,NA,0,NA,8
Business and administration,Business Studies,Griffith College,GC300,429,264,162,8
Business and administration,Accounting & Finance,Griffith College,GC301,253,0,NA,8
Business and administration,Business Studies - HRM,Griffith College,GC302,NA,377,NA,8
Personal services,International Hospitality Management,Griffith College,GC305,253,NA,NA,8
Personal services,International Hospitality Management,Griffith College,GC306,253,NA,NA,7
Information and Communication Technologies (ICTs),Computing,Griffith College,GC335,217,171,135,7
Business and administration,Business Studies,Griffith College,GC400,248,250,252,8
Business and administration,Accounting and Finance,Griffith College,GC401,240,242,244,8
Business and administration,Business Studies (HRM),Griffith College,GC402,264,0,NA,8
Law,Law,Griffith College,GC403,244,245,246,8
Business and administration,Business Studies (Marketing),Griffith College,GC407,280,264,249,8
Business and administration,Marketing,Griffith College,GC410,145,122,103,7
Business and administration,Business,Griffith College,GC411,135,180,240,7
Information and Communication Technologies (ICTs),Computing Science,Griffith College,GC430,252,251,250,8
Information and Communication Technologies (ICTs),Computing,Griffith College,GC435,NA,108,NA,7
Journalism and information,Communications and Media Production,Griffith College,GC450,254,225,199,8
Arts,Music Production for Games (portfolio),Griffith College,GC460,NA,0,NA,6
Arts,Design Communication (portfolio),Griffith College,GC462,NA,300,NA,8
Journalism and information,Communications,Griffith College,GC465,NA,118,NA,7
Arts,Film and TV Production,Griffith College,GC466,NA,121,NA,7
Arts,Photographic Media,Griffith College,GC470,169,163,157,7
Arts,Photography,Griffith College,GC475,150,125,104,6
Arts,Interior Architecture (portfolio),Griffith College,GC489,254,288,327,8
Arts,Interior Design,Griffith College,GC490,117,137,160,7
Arts,Fashion Design (portfolio),Griffith College,GC494,337,351,366,8
Arts,Fashion,Griffith College,GC495,129,110,94,7
Arts,Arts (Joint-Honours),"National University of Ireland, Galway",GY101,300,327,356,8
Social and behavioural sciences,Arts (Psychology),"National University of Ireland, Galway",GY104,523,564,608,8
Humanities (except languages),Arts (History),"National University of Ireland, Galway",GY105,301,357,423,8
Languages,Na Dána (Gaeilge agus Léann an Aistriúcháin),"National University of Ireland, Galway",GY107,409,NA,NA,8
Education,Arts (Mathematics and Education),"National University of Ireland, Galway",GY109,403,413,423,8
Social and behavioural sciences,Arts with Children`s Studies,"National University of Ireland, Galway",GY110,357,387,420,8
Arts,Arts with Creative Writing,"National University of Ireland, Galway",GY111,330,421,537,8
Arts,Arts with Film Studies,"National University of Ireland, Galway",GY112,321,NA,NA,8
Social and behavioural sciences,Arts with Human Rights,"National University of Ireland, Galway",GY113,368,413,464,8
Arts,Arts with Performing Arts Studies,"National University of Ireland, Galway",GY115,387,300,233,8
Arts,"Arts (Drama, Theatre and Performance Studies)","National University of Ireland, Galway",GY118,451,453,455,8
Journalism and information,Arts (Journalism),"National University of Ireland, Galway",GY119,400,484,586,8
